assunto,cod_assunto,descricao_lei
Abandono de cargo,11336,Artigo 330 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Abandono de função,3561,Artigo 323 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abandono de função (art. 323),9841,Artigo 323 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abandono de incapaz,3391,Artigo 133 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abandono de incapaz (art. 133),9651,Artigo 133 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abandono de pessoa,11233,Artigo 212 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Abandono de pessoa seguida de morte ou lesão grave,11234,Parágrafo 2 Artigo 212 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Abandono de pessoa seguida de morte ou lesão grave,11234,Parágrafo 1 Artigo 212 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Abandono de pessoa seguida de morte ou lesão grave,11234,Artigo 212 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Abandono de posto,11135,Artigo 195 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Abandono Intelectual,9758,Artigo 246 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abandono Intelectual,9966,Artigo 249 da Lei nº 8.069 de 13 de Julho de 1990
Abandono Intelectual,3475,Artigo 247 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abandono Intelectual,3475,Artigo 246 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abandono Material,3474,Artigo 244 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abandono Material,9965,Artigo 24 da Lei nº 8.069 de 13 de Julho de 1990
Abandono Material,9965,Artigo 22 da Lei nº 8.069 de 13 de Julho de 1990
Abandono Material,9757,Artigo 244 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abatimento proporcional do preço,7769,Artigo 20 da Lei nº 8.078 de 11 de Setembro de 1990
Abatimento proporcional do preço,7769,Parágrafo 1 Artigo 18 da Lei nº 8.078 de 11 de Setembro de 1990
Abolitio criminis,11089,Artigo 123 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Aborto provocado pela gestante ou com o seu consentimento,10917,Artigo 124 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Aborto provocado por terceiro,10918,Artigo 126 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Aborto provocado por terceiro,10918,Artigo 125 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
